Entity,assigned_cluster,mean_p,mean_g,mean_i,mean_f
Afghanistan,1,3.405903692137398,4.81342593863217,0.545381912104038,0.7998826077360598
Argentina,1,0.9782066677528802,1.1999341602570461,-0.39478728770484794,-0.11138874798129686
Bangladesh,1,1.262046827246758,5.404492143120545,-0.2960056542103497,0.1341861173994509
Barbados,1,0.2735503194873042,0.10202738488044284,0.051102159065402004,0.87848662074089
Bolivia,1,1.6221474645963379,2.043147251329963,0.870546109049531,-1.1087999255127383
Brazil,1,1.006834625098331,1.9687500610008586,-0.37105615563676736,-0.2545661777375786
Cameroon,1,2.8144897040091017,2.0061594712073822,-1.9341099256523138,-0.055682429329935085
Cape Verde,1,0.87742909555623,4.3413317577949355,1.0196400598628907,-2.183363262607731
Chile,1,1.1322915929431892,2.1774752262420267,-0.23189851221986385,0.008250261963662067
Colombia,1,1.3890549060542121,1.9753162718594928,-0.7926251909141545,-1.177080603558485
Costa Rica,1,1.3933227285630536,2.2178760174224807,-0.9013136315649752,-1.183543484472289
Cote d'Ivoire,1,2.7748408378619986,2.717078495231857,0.1805996017062709,0.36514227281151174
Democratic Republic of Congo,1,3.193551266838558,1.9079316536341318,-1.574650834922703,0.7353162002299003
Dominica,1,-0.13740026947211842,2.5799933590146527,0.6737559568395289,0.11428332382389109
Ecuador,1,1.642830770522765,1.4332866285361652,-0.16581572767944475,1.9701652374852372
El Salvador,1,0.34183055984924543,2.821482672133081,0.21541877371642354,-1.2540080414672272
Equatorial Guinea,1,4.432585890058769,8.128917306738309,1.6270594874411022,-3.8896191741731294
Ethiopia,1,3.015116504545136,4.243163585193043,0.7113687163588711,0.07090565261369468
Gambia,1,2.7989711690516814,1.4947992476350713,-1.3166525888773581,2.2677752177647825
Ghana,1,2.4566941674986316,3.142835569068311,-0.02974241528372314,0.6087825064581579
Guatemala,1,2.095612729861973,1.4330821155368856,1.3099012184321823,-0.8534153059018723
Guinea,1,2.381944659556343,2.6834366278125668,0.1611254465749142,0.5491218900078906
Honduras,1,2.3046701718174583,1.932496859141904,0.8783867660223039,0.062107853550388836
Iceland,1,1.2912569163860828,1.5729365721926574,0.8917225398535199,-2.1429625308662077
India,1,1.5204645858167816,4.566506305430278,-1.2280774231233587,0.3269322075427371
Indonesia,1,1.277151828109374,3.400184737351282,-0.02827398607357041,0.16487591591012807
Iran,1,1.3681283797078732,3.6012322193837,-0.27691925379341653,-0.5450602354960126
Jamaica,1,0.49183897669220694,0.5919020762086713,-0.590497938602539,0.10068457245238013
Jordan,1,3.2588821021229974,1.2399321228313984,-1.9434916853459214,-0.8514361186291179
Kenya,1,2.7032396725651466,2.490042029219913,-1.2959507157542955,0.7598996704409884
Kuwait,1,3.7055673878710618,3.9563070749423703,-1.309073619954151,-1.966639808967029
Kyrgyzstan,1,1.459023992941464,2.158771721577726,-1.7392807513709267,1.9328375315274686
Liberia,1,3.317973327240893,2.319158207622545,-2.1470527968920505,0.17125701274564908
Madagascar,1,2.9486734608685348,0.8541911074918219,1.1226419102374885,0.7252658202004311
Malawi,1,2.5548513987500097,1.4874708721459466,-1.8429143480278438,0.42747972848025256
Malaysia,1,2.046791863001661,3.337788892633517,-0.3869862400978533,-0.3757943899814591
Mauritius,1,0.3955310759749696,1.9270735032626674,0.5860525057209328,0.5973486968105671
Mexico,1,1.3120494350374556,1.534663790525752,-1.0374890131644376,-0.675245767332584
Morocco,1,1.3133354555213936,2.3302957583813795,-0.054937155980800956,-0.09771540249095101
Myanmar,1,0.9075185318674283,5.0223812683072335,-0.4964628977360935,1.5341364314098
Namibia,1,2.240541750124699,1.3290116882056318,0.8739711878780386,-0.8577503281203259
Niger,1,3.6609319102803592,1.0319606636385297,0.4344278824790711,1.9621355298373182
North Korea,1,0.5762014150143944,-0.7247027759826273,0.10439277060873586,0.5414201615809381
Oman,1,3.0258527276955793,4.507669755659633,0.9775149993761303,-1.7261124345198242
Pakistan,1,2.261585989277184,2.4228241969792887,-1.3356903939009412,0.1793455576221239
